Monthly Rent;Expenses;Address;Area;Rooms;Unit Details;
$ 140.000;$ 20.000;Pastorini 2200 pb;La Reja, Moreno;60 m² tot. | 2 amb. | 1 dorm. | 1 baño;En alquiler, encantador dúplex de dos ambientes en el corazón de La Reja, ubicado en la calle Pastorini 2200, a solo 50 metros de la Avenida Principal Storni. Este impecable. Cuenta con una amplia cocina comedor, un acogedor patio con parrilla y lavadero, así como un dormitorio y baño principal en la planta alta. Cochera opcional solo para moto.;
$ 140.000;Listing has no expenses;Centenario 1000 pb;Moreno, Moreno;45 m² tot. | 2 amb. | 1 dorm. | 1 baño;En alquiler departamento 2 ambientes en Moreno sur, sobre calle Centenario esquina Emilio Mitre. Cuenta con cocina comedor, baño y dormitorio, posibilidad de ingresar moto, no se permiten mascotas. Impecable! Servicios: Electricidad, Pavimento, Cloacas, Teléfono, Agua Corriente, Videocable. En Nuestra página web encuentran mas alternativas acordes a tu necesidad. Llámanos al 08Ver datos. Celular (11) Ver datos. web. ar. La presente publicación describe las características esenciales del inmueble, debiéndose consultar al corredor público inmobiliario responsable de la operación por la eventual actualización de las medidas, descripciones arquitectónicas y funcionales, valores de expensas, servicios, impuestos, precios y demás información, cuyos valores son aproximados.;
$ 140.000;$ 12.000;España 500;Moreno, Moreno;36 m² tot. | 2 amb. | 1 dorm. | 1 baño;Daniel Weksler Inmuebles. Departamento de 2 ambientes al frente, comedor cocina con muebles completos de bajo mesada y alacena, termotanque, espacio para lavarropas bajo mesada, baño completo y dormitorio con placard con interiores completos. Excelente estado. Primer piso por escaleras. A solo 4 cuadras de la estación de Moreno, zona del Hospital. Excelente ubicación. Expensas $12. 000 Aysa/Abl $8. 000 Seguro $3. 000;
$ 150.000;$ 15.000;España 989;Moreno, Moreno;300 m² tot. | 2 amb. | 1 dorm. | 1 baño;Departamento 2 ambientes en pb // con entrada independiente por av. España (A 200M del acceso oeste) **parada de colectivos en la puerta** composición: porch, cocina-comedor, 1 dormitorio, 1 baño Y todos los servicios. Superficie 34 M2 aprox. //no tiene cochera / no aceptan mascotas// *expensas bajas**;
$ 150.000;Listing has no expenses;Boulevard Perón 2400 pb;Moreno, Moreno;50 m² tot. | 2 amb. | 1 dorm. | 1 baño | 1 coch.;En alquiler departamento tipo ph. 2 ambientes en Moreno sur, sobre Boulevard Presidente Perón y Del Cañon. Moreno. Cuenta con entrada para auto/patio, cocina comedor, un dormitorio y baño completo.;
$ 150.000;$ 20.000;Av. Libertador al al 800;Moreno, Moreno;2 amb. | 1 dorm. | 1 baño;En Alquiler! Oportunidad! Ultimo Departamento de 2 Ambientes disponible en el Edificio! Sobre Av. Libertador al 800 - a 1 Cuadra del Hospital de MorenoDepartamento ubicado en Planta Baja: - Living con cocina Integrada- 1 Dormitorio- Baño CompletoLineas de Colectivo a tan solo 20 metros! Valor: $ 150. 000 + 20. 000Código de Referencia: 200. 135;
$ 160.000;$ 40.000;Alem 2800 2°;Moreno, Moreno;35 m² tot. | 1 amb. | 1 baño | 1 coch.;En alquiler departamento tipo monoambiente en moreno centro. El mismo se encuentra a tan solo 3 cuadras de la estación de Moreno. Sobre la calle Leandro Alem al 2800. Este cuenta con un amlio living-comedor, cocina completa, lavadero, baño y cochera cubierta. El edificio consta de doble porton electrico, sector de estacionamiento, cuatro pisos más lanta baja y terraza con parrilla. Servicios: Electricidad, Pavimento, Gas, Agua Corriente, Videocable. Otros Servicios: Terraza. En Nuestra página web encuentran mas alternativas acordes a tu necesidad. Llámanos al 08Ver datos. Celular (11) Ver datos. web. ar. La presente publicación describe las características esenciales del inmueble, debiéndose consultar al corredor público inmobiliario responsable de la operación por la eventual actualización de las medidas, descripciones arquitectónicas y funcionales, valores de expensas, servicios, impuestos, precios y demás información, cuyos valores son aproximados.;
$ 170.000;$ 35.000;Intendente Bossi 146;Moreno, Moreno;600 m² tot. | 2 amb. | 1 dorm. | 1 baño;Departamento loft (preparado para dividir en 2 ambientes) edificio vázquez ledo. primer piso - superficie aprox. 44, 53 M2. 1 dormitorio C/placard (a dividir ambiente), 1 baño completo con bañera y espacio lavarropas, cocina con barra desayunador, alacena, bajo mesada Y anafe electrico con dos hornallas, living-comedor, balcón lindo Y cómodo. No tiene cochera. Amenities: -sum con parrilla. -Pileta in-out con hidromasaje. -Baños con vestidor y duchas;
$ 180.000;Listing has no expenses;Aristobulo del Valle;Moreno, Moreno;55 m² tot. | 3 amb. | 2 dorm. | 1 baño;Oportunidad | Nuevo en Alquiler! Importante Departamento de 2 Dormitorios en Moreno Centro (Lado Sur) Sobre calle Asconape y Aristobulo del Valle Características: - Amplio Living - Comedor - Cocina - 2 Dormitorios (Para entrar al segundo, hay que pasar por el primero) - BañoSe alquila sin Amoblar! Valor: $ 180. 000 + ExpensasCodigo de Referencia: 200. 190;
$ 180.000;$ 10.000;sarmiento 685;Moreno, Moreno;80 m² tot. | 3 amb. | 1 baño;Departamento en alquiler en Moreno. Sarmiento 600, entre Venezuela y Guatemala. Zona residencial, muy tranquila. 3 ambientes, ubicado en primer piso por escalera. Cuenta con: Lavadero con termo a Gas, y conexión de lavarropas. Cocina comedor, con muebles bajo mesada, alacenas, barra desayunador. En planta alta, 2 dormitorios, uno de ellos con placard, y Baño completo. Bajas expensas. No cuenta con cochera. No acepta mascotas. Ajustes trimestrales por icl;
